"name","slug","path","core"
"Atari 2600","2600","ATARI","stella2014_libretro.so"
"32X","32x","MD","picodrive_libretro.so"
"3DO","3do","PANASONIC","opera_libretro.so"
"Amiga","amiga","AMIGA","puae2021_libretro.so"
"Commodore 64","c64","COMMODORE","vice_x64_libretro.so"
"MS-DOS","dos","DOS","dosbox_pure_libretro.so"
"Game Boy","gb","GBC","gambatte_libretro.so"
"Game Boy Advance","gba","GBA","mgba_libretro.so"
"Game Boy Color","gbc","GBC","gambatte_libretro.so"
"Genesis","genesis","MD","picodrive_libretro.so"
"Game Gear","gg","MD","picodrive_libretro.so"
"Atari Jaguar","jaguar","JAGUAR","virtualjaguar_libretro"
"Atari Lynx","lynx","LYNX","handy_libretro.so"
"Multiple Arcade Machine Emulator","mame","ARCADE","km_mame2003_xtreme_libretro.so"
"MSX","msx","MSX","bluemsx_libretro.so"
"Neo Geo","neogeo","NEOGEO","fbalpha2012_neogeo_libretro.so"
"Nintendo","nes","FC","fceumm_libretro.so"
"Neo Geo Pocket","ngp","NGP","mednafen_ngp_libretro.so"
"PlayStation","psx","PS","pcsx_rearmed_libretro.so"
"Sega CD","scd","MD","genesis_plus_gx_libretro.so"
"ScummVM","scummvm","SCUMMVM","scummvm_libretro.so"
"Master System","sms","MD","picodrive_libretro.so"
"Super Nintendo","snes","SFC","fceumm_libretro.so"
"TurboGrafx-16","tg16","PCE","mednafen_pce_fast_libretro.so"
"Virtual Boy","vb","VB","mednafen_vb_libretro.so"
"WonderSwan","ws","WS","mednafen_wswan_libretro.so"
