id	name	description
2	Batman	Games starring any version of the Batman character owned by DC Comics.
3	EA Sports BIG	The EA Sports BIG label was used for publishing sports games published by Electronic Arts that were focused either on casual gameplay or extreme sports.
4	Dungeons & Dragons	Any game that is produced under or based on the official Dungeons & Dragons (D&D) or Advanced Dungeons & Dragons (AD&D) brands and is officially licensed under them.
5	Civilization	All games from the Sid Meier's Civilization series and its spin-offs.
7	Star Wars	Any game that contains characters, locations, or situations licensed from the Star Wars franchise.
9	LEGO	Games based on the popular LEGO building blocks.
10	Witcher, The	Fantasy RPG games based on a series of novels written by Andrzej Sapkowski.
11	Grand Theft Auto	Grand Theft Auto is a sandbox-violence game, that has drawn attention all over the world, and has pretty much become one of the most noticeable criminal-sandbox franchises ever.
12	Fallout	The Fallout franchise is a post-apocalyptic series of role-playing and tactics games originally developed by Black Isle, and most recently, Bethesda Softworks and Obsidian Entertainment.
13	Deus Ex	A collection of award-winning, first-person shooter, cyberpunk role-playing games.
15	Parasite Eve	Licensed games in the Parasite Eve series, by Squaresoft, loosely based on the novel by Hideaki Sena.
16	God of War	The God of War franchise is a series of action-adventure games that chronicle the exploits of the anti-hero Kratos and his quest for revenge on the Greek Gods for the death of his family.
17	Metal Gear	Tactical, Espionage, Action. A revered and long-running series directed by Hideo Kojima.
18	Legacy of Kain	Set in the mythical realm of Nosgoth, the Legacy of Kain franchise follows the tragic tale of the vampire Kain as he tries to fulfill his destiny as Nosgoth's savior. The gameplay involves action and puzzle-solving elements.
19	King of Fighters	SNK's 2D fighting universe.
21	Super Mario	All Super Mario platform games, the core of the Super Mario franchise.
22	Castlevania	The Castlevania franchises chronicles the ongoing fight against Count Dracula by the Belmont family and their allies. To this day, Dracula continues to pose a threat to the world.
23	Legend of Zelda	Nintendo's flagship fantasy action-adventure series created by Shigeru Miyamoto and Takashi Tezuka in 1985, the Zelda series is the source of many revolutionary gameplay conventions, and continues to be one of the most popular and critically acclaimed video game franchises of all time.
24	Mega Man	The Mega Man franchise covers a large number of action games from the core series and several offshoots, including the Mega Man X series and  Mega Man Battle Network.
25	Metroid	The Metroid series follows the missions of Samus Aran--a bounty hunter for the Galactic Federation--as she explores the galaxy fighting off Space Pirates and a variety of other enemies.
26	Half-Life	Half-Life is a series of games developed by Valve, which share a common setting and recurrent gameplay elements. The main installments are predominantly linear, story-driven first-person shooters with light puzzle-solving elements, connected by an overarching story-line and a common protagonist, the scientist Gordon Freeman.
27	Elder Scrolls	Elder Scrolls is a series of predominantly action role-playing games united by a common setting, a medieval fantasy world known as Nirn. The first game in the series was Arena (1994), which introduced the series' lore, themes, and main visual elements, including 3D environments and first-person view.
28	Borderlands	Borderlands is an action role-playing first-person looter shooter video game franchise set in a space-western science fantasy setting.
29	Disney	Any game that contains characters, locations, or situations licensed from The Walt Disney Company.
30	Divinity	Divinity is a series of role-playing games by the Belgian developer Larian Studios. The games take place in a fantasy world known as Rivellon and have an overarching story involving the Divine Lucian and his adopted son Damian, who eventually becomes the series' main antagonist. Though the protagonist in each game is different, there are a few recurrent characters and themes as well.
31	DOOM	This group includes the main series of first-person shooters by Id Software, starting with Doom (1993), as well as their official expansion packs and spin-offs. The original Doom is commonly considered one of the genre's progenitors. Doom games feature predominantly horror-based thematics with sci-fi elements.
32	You Don't Know Jack	"A series of games which puts you in the middle of a comedy game show known as ""You Don't Know Jack."" The central theme of the game is that it combines high culture (art, literature, history, the sciences) and pop culture (television, movies, video games, music, trivia). For example, one question might take Homer the Poet and Homer Simpson and use them to create a question about corporal punishment. Sometimes, however, a specific game in the series may focus on one theme in particular, such as the movies.

Emphasis is placed on the series' humorous appeal, especially with its quick, witty dialog, its sarcastic game show host, and the often bizarre situations that occur on the show itself. The series uses very little visuals and mostly utilizes audio recordings to illustrate the idea that players are on the set of a game show."
33	Quake	Games in id Software's 3D first-person-shooter series, Quake, sporadically recounting the ongoing saga of Earth's war against the Stroggs.
34	Sonic the Hedgehog	Sonic the Hedgehog is a series of games released by Sega and originally developed by its Sonic Team division. The titular character, a semi-anthropomorphic hedgehog who can run at supersonic speed, was created to fill the role of Sega's official mascot (replacing Alex Kidd) and a character who was supposed to compete in popularity with Nintendo's Mario.
35	Lara Croft	Lara Croft is a highly intelligent and athletic British archaeologist who ventures into ancient tombs and hazardous ruins around the world.
36	Gundam	This group includes all licensed games based on the Japanese anime meta-series Gundam by Sunrise Studios.
37	Rolling Thunder	Rolling Thunder is a series of run and gun shooters produced by Namco.
38	Cresta	Nihon Bussan's line of arcade shmups, starting with Moon Cresta.
41	Phantasy Star	Phantasy Star games, created by Sega, include the original Japanese-style role-playing series (which encompassed four games), its various spin-offs (such as the Phantasy Star Text Adventures series), and online RPGs, which originated with Phantasy Star Online (2000) and have been dominating the series ever since. The initial games were designed by Rieko Kodama and Yuji Naka.
42	Tony Hawk	A series of skateboarding games endorsed by pro skateboarder Tony Hawk.
43	Need For Speed	Electronic Arts' long-running series of racing games.
44	Streets of Rage	Streets of Rage is a series of side-scrolling beat 'em up video games, centering on the efforts of several ex-police vigilantes trying to rid a fictional, large American city from a crime syndicate that has corrupted its local government.
45	Bomberman	Games featuring Hudson Soft's heroic robot bomb-lobber, generally in top-down brick-destroying environments -- and often in party deathmatches against other players.
46	Adventure Island	After porting Wonderboy on the Famicom/NES, Hudson Soft further developed the platformer saga of this primitive South Seas islander, spinning it off in a totally different direction.
47	Star Soldier	Hudson's premier shoot'em'up series, beginning in the mid-eighties.
48	Ganbare Goemon	A series of humorous titles in various genres by Konami starring Goemon, a warrior in feudal Japan who sets out to fight evil. The character is based on the historical Ishikawa Goemon, a 16th century outlaw who has become very popular in Japan. The series spans side-scrollers, 3D action games, and a few RPGs and adventures.
49	Tetris	All games produced under an official Tetris license/brand, including Tetris, Welltris, Hatris, Wordtris, Super Tetris, etc.
50	Fatal Fury	SNK's original Street Fighter clone turned legit fighting franchise in which warriors from all corners of the world battle against each other.
51	Metal Slug	A long running series of side-scrolling run and gun shooters. The majority of the games feature Marco Rossi of the Peregrine Falcon Special Forces Squad. The games usually deal with battling against General Morden's army, although some games deal with protecting Earth from an extraterrestrial menace.
52	Sengoku	SNK's belt scrolling action series that mixes ancient Japanese history and modern settings characters.
53	Shining	Shining is a series of fantasy console games developed by Sega.
54	Fire Emblem	"Fire Emblem is a series of tactical role-playing games by Intelligent Systems. Its installments take place on different continents of a fantasy world, which largely constitute their own separate universes and are otherwise unrelated to each other. The games are plot-driven and focus on individual characters and their relationships.

Like other representatives of the genre, these games combine large-scale tactical battles with role-playing elements such as equipment customization and leveling up. The series' trademark gameplay elements involve a rock-paper-scissors system for weapons, breakable equipment, and permanent death (characters fallen in battle usually cannot be revived by any means)."
55	Syphon Filter	Syphon Filter is a series of third person shooters released on Sony consoles. The series focuses on a spy named Gabe Logan.
56	Picross	The Picross games are nonogram games, where the player has to uncover a picture using number hints given on the borders of the hidden image in a sort of paint-by-numbers fashion.
57	Ghost 'N Goblins	A long-running action-platformer franchise by Capcom, notorious for its severe difficulty.
