id	alt_title	archived	co_op	collection_id	controller_support	date_added	date_modified	description	developer	esrb	favorite	filename	genre_id	gpu	hdd	last_played	mod	notes	online_multiplayer	operating_system	platform_id	play_count	players	processor	publisher	ram	region	save_path	steam_id	store	tags	title	translation	year
1		1	0		1	2021-02-28 18:55:24.344124	2022-02-05 19:33:39.574181	Sea Salt is a dark fantasy reverse horror action-strategy game where you play as the nightmarish force of Dagon by controlling and growing a horde of minions.	Y/CJ/Y	M	0	sea-salt	2						0		40		1		Y/CJ/Y		NA			GOG	Strategy	Sea Salt	0	2017
3		0	0		1	2021-03-18 23:48:22.104475	2022-11-10 01:49:01.422931	EA's Fight Night returns in its second installment where you can create a new boxer and start a career that begins as an amateur or relive the careers of some legendary boxers.	EA Sports	T	0	fight-night-round-2.rvz	13						0		10		2		EA Sports		NA					Fight Night Round 2	0	2005
4		1	1	30	1	2021-03-18 23:59:50.734855	2023-10-12 01:24:11.428221	The Divine is dead. The Void approaches. And the powers lying dormant within you are soon to awaken. The battle for Divinity has begun. Choose wisely and trust sparingly; darkness lurks within every heart.	Larian Studios	M	1	divinity-original-sin-ii	12	DirectX 11 Compatible	60 GB				1	Windows 7 SP1	40		2	Intel Core i5 or greater	Larian Studios	4 GB	NA			GOG	Turn-Based, Fantasy	Divinity: Original Sin II	0	2017
5		1	1	9	1	2021-03-19 00:08:53.694915	2024-01-20 10:26:50.003706	LEGO Batman: The Video Game is an action adventure platformer focused on the combination of the popular Batman universe and the continued licensing of Lego-styled video games.	Traveller's Tales	E10	0	lego-batman	2	128 MB with Shader Model 2.0 capability	4.2 GB				0	Windows XP	40		2	1.5 GHz	WB Games	512 MB	NA			GOG	Third-Person	LEGO Batman: The Videogame	0	2008
6		0	0		1	2021-03-19 00:39:37.324548	2022-02-05 01:17:04.157536	An action adventure RPG by developer BioWare which transports the player into a mystical and oriental setting based on ancient China where they must confront all sorts of dangers and find their destiny within the Jade Empire.	BioWare	M	0	jade-empire-special-edition	3	DirectX 9.0c compatible / Shader model 2.0 support	8 GB				0	Windows XP	40		1	ntel Pentium 4 1.8 GHz / AMD Athlon XP 1800+	2K Games	512 MB	NA			GOG		Jade Empire: Special Edition	0	2007
7		0	0		1	2021-03-19 00:47:24.751749	2022-03-21 02:05:53.461808	For centuries, the planet Hyllis has been bombarded by a relentless alien race. Skeptical of her government's inability to repel the invaders, a rebellious action reporter named Jade sets out to capture the truth. Armed with her camera, dai-jo staff, and fierce determination, she discovers shocking evidence leading to a horrific government conspiracy, and is forced to battle an evil she cannot possibly fathom.	Ubisoft	T	0	beyond-good-evil	2	32 MB of VRAM / DirectX 9.0b compatible	2.2 GB			"- 32-bit Wine prefix
- Fix sound desync: copy `dsound.dll` to the game directory. Then in wine config override dsound as ""native, builtin""
- Fix sound loop: disable EAX and CSMT in wine config."	0	Windows XP	40		1	700 MHz	Ubisoft	128 MB	NA			GOG	Sci-Fi, Third-Person	Beyond Good & Evil	0	2003
8		1	1	44	1	2021-03-19 00:54:00.411890	2023-05-14 23:38:51.951703	Streets of Rage 4 builds upon the classic trilogy’s game play with new mechanics, beautiful hand drawn visuals and a God tier soundtrack.An iconic series like Streets of Rage got its iconic characters: Axel, Blaze, Adam and other veterans reunited to clean up the streets. With some brand-new moves and tracks, our heroes are ready to dish out beat downs to a fledgling group of ill-advised criminals in full force.	DotEmu	T	1	streets-of-rage-4	1	NVIDIA GeForce GTS 250 / AMD Radeon HD 6670	10 GB available space				1	Ubuntu 16.04 / Windows 7 (x64)	17		2	Intel Core 2 Duo E8400 / AMD Phenom II X4 965	DotEmu	4 GB	NA			GOG	Brawler, 2D Scrolling	Streets of Rage 4	0	2020
9		0	0	27	1	2021-03-19 01:04:26.612025	2024-04-20 07:19:50.984613	Freed by the decree of Uriel Septim VII, the Emperor of Tamriel, a lone prisoner is transported to the province of Morrowind. It seems that the strange dreams this prisoner has been having lately may have a connection to equally strange events occurring there. The protagonist is given a simple assignment: join the Blades, a secret organization whose goal is to protect the safety of the Emperor. This leads to a discovery of an ancient prophecy and an evil scheme concocted by a powerful deity whom the protagonist alone is able to stop.	Bethesda	T	0	elder-scrolls-iii-morrowind	12						0		40		1		Bethesda Softworks		NA			GOG	None	Elder Scrolls III: Morrowind, The	0	2002
10		0	0		1	2021-03-19 01:22:35.809064	2024-05-08 23:36:18.105259	Explore huge, beautiful worlds, meet an unforgettable cast of characters and horde a vault-load of collectibles as buddy-duo Yooka and Laylee embark on an epic adventure to thwart corporate creep Capital B!	Playtonic	E	0	yooka-laylee	1	Nvidia GeForce GTS 450 / AMD Radeon HD 6850	9 GB				0	Ubuntu 14.04	17		1	3.3 GHz	Team 17	8 GB	NA	%USERPROFILE%/AppData/LocalLow/Playtonic Ltd/Yooka-Laylee		GOG	Platformer, Third-Person	Yooka-Laylee	0	2017
11		1	0	7	1	2021-03-19 01:35:57.196303	2022-02-05 18:35:35.879777	The story of this game takes place 4,000 years before the rise of the Galactic Empire. Darth Malak, a Dark Lord of the Sith and Darth Revan's former apprentice, has unleashed a Sith armada against the Republic. Malak's aggression has left the Jedi scattered and vulnerable; many Jedi Knights have fallen in battle and others have sworn allegiance to Malak and Revan.	BioWare	T	1	star-wars-knights-of-the-old-republic	12	32 MB of VRAM / DirectX 9.0b compatible	4 GB				0	Windows 98	40		1	1.0 GHz	LucasArts	128 MB	NA			GOG	Strategy, Third-Person	Star Wars: Knights of the Old Republic	0	2003
12		0	0		1	2021-04-21 04:50:39.011306	2023-02-01 18:52:03.753970	Get ready to enter a world of hypertech weapons, holosseums, and heavy-barrel battles. Custom Robo puts you in the pilot's seat of a state-of-the-art war machine in the not-too-distant future where crime and justice duke it out in virtual battlegrounds. With the game's powerful, innovative customization, you can construct your robot from the ground up using an arsenal of more than 200 parts and weapons.	Noise	T	0	custom-robo.rvz	3						0		10		4		Nintendo		NA				Sci-Fi, Third-Person	Custom Robo	0	2004
14		0	0		1	2021-04-21 13:15:53.803427	2022-02-06 01:04:05.425752	Join renegade mechanic Robin and uncover the secrets of a dying planet. Explore a big world filled with intricate puzzles, interesting characters and menacing bosses in a beautiful platform adventure that tells a personal story about faith, purpose and the challenge of helping people.	Joakim Sandberg	T	0	393520	2	512 MB VRAM	500 MB				0	Ubuntu 14.04	35		1	2 GHz Dual Core	Bifrost Entertainment	1 GB	NA		393520	STEAM	Metroidvania, 2D Scrolling, Pixel Art	Iconoclasts	0	2018
15		0	0		1	2021-04-21 13:38:45.137304	2022-03-29 03:44:15.294905	You own the last farm in the post-apocalypse wasteland, inherited from your late grandfather’s will mere moments before the surrounding countryside gets vaporized in a nuclear blast. Now as the only source of food for the local town, and constantly under threat from the local mutant wildlife, you do as any self-respecting farmer would: Farm. Marry. Kill.	Bird Bath Games	T	0	atomicrops	1	DirectX 11 compatible	1 GB				0	Windows 7	40		1	Intel Core i3-2100T / AMD Athlon 5350	Raw Fury Games	4 GB	NA			GOG	Shooter	Atomicrops	0	2019
